game,number_of_game_type,game_type:,round,seed,agent,agent_type,observation,action,reward,termination,truncation,self_vel,self_pos,distances_to_agents,angles_to_agents,distances_to_landmarks,angles_to_landmarks,other_agent_velocities
3,1,Pursuers: 3 vs Evaders: 1,21,8977,adversary_2,non-active,"[-0.7945677042007446, 0.6071755290031433, -1.2008616924285889, -1.422495722770691, 2.9648871421813965, 2.348193407058716, 2.2704577445983887, 2.6873180866241455, 1.2660032510757446, 1.442049264907837, -0.0, -0.0]","[0.0, 1.0, 0.0, 0.0, 1.0]",,,,"[-0.7945677042007446, 0.6071755290031433]","[-1.2008616924285889, -1.422495722770691]","[3.782138, 3.5180473, 1.9189243]","[0.6698444, 0.86928296, 0.85031515]",[],[],"[-0.0, -0.0]"
3,1,Pursuers: 3 vs Evaders: 1,21,8977,agent_0,evader,"[-0.0, -0.0, 0.06514149159193039, 0.019553527235984802, 1.6988838911056519, 0.9061442017555237, 1.004454493522644, 1.2452689409255981, -1.2660032510757446, -1.442049264907837]","[0.0, -2.7070388328783563, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.0, -0.0]","[0.06514149159193039, 0.019553527235984802]","[1.925436, 1.5998824, 1.9189243]","[0.48999068, 0.89203393, -2.2912774]",[],[],[]
3,1,Pursuers: 3 vs Evaders: 1,22,8977,adversary_0,active,"[1.0, 0.0, 1.864025354385376, 0.9256977438926697, -0.6948695182800293, 0.32975292205810547, -3.144343852996826, -2.287475824356079, -1.7988839149475098, -0.9061442017555237, -0.0, -0.0]","[0.0, 0.0, 0.8347105544968322, 0.0, 1.0]",,,,"[1.0, 0.0]","[1.864025354385376, 0.9256977438926697]","[0.7691428, 3.888373, 2.0142195]","[2.6985085, -2.5126548, -2.674969]",[],[],"[-0.0, -0.0]"
3,1,Pursuers: 3 vs Evaders: 1,22,8977,adversary_1,non-active,"[0.9752328395843506, -0.22118067741394043, 1.1691558361053467, 1.2554506063461304, 0.6948695182800293, -0.32975292205810547, -2.449474334716797, -2.6172287464141846, -1.1040143966674805, -1.2358970642089844, -0.0, -0.0]","[0.0, 0.0, 1.0, 0.6630219970255476, 0.0]",,,,"[0.9752328395843506, -0.22118067741394043]","[1.1691558361053467, 1.2554506063461304]","[0.7691428, 3.5846634, 1.6571932]","[-0.44308415, -2.3230975, -2.2998917]",[],[],"[-0.0, -0.0]"
3,1,Pursuers: 3 vs Evaders: 1,22,8977,adversary_2,non-active,"[-0.7645251750946045, 0.6445938944816589, -1.2803184986114502, -1.3617781400680542, 3.144343852996826, 2.287475824356079, 2.449474334716797, 2.6172287464141846, 1.345460057258606, 1.3813316822052002, -0.0, -0.0]","[0.0, 1.0, 0.0, 0.0, 1.0]",,,,"[-0.7645251750946045, 0.6445938944816589]","[-1.2803184986114502, -1.3617781400680542]","[3.888373, 3.5846634, 1.9282998]","[0.6289378, 0.8184953, 0.79855263]",[],[],"[-0.0, -0.0]"
3,1,Pursuers: 3 vs Evaders: 1,22,8977,agent_0,evader,"[-0.0, -0.0, 0.06514149159193039, 0.019553527235984802, 1.7988839149475098, 0.9061442017555237, 1.1040143966674805, 1.2358970642089844, -1.345460057258606, -1.3813316822052002]","[0.0, -2.7070388328783563, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.0, -0.0]","[0.06514149159193039, 0.019553527235984802]","[2.0142195, 1.6571932, 1.9282998]","[0.46662378, 0.84170085, -2.34304]",[],[],[]
3,1,Pursuers: 3 vs Evaders: 1,23,8977,adversary_0,active,"[0.9578589200973511, 0.2872390151023865, 1.9640253782272339, 0.9256977438926697, -0.6973462700843811, 0.3076348304748535, -3.320796489715576, -2.2230165004730225, -1.8988839387893677, -0.9061442017555237, -0.0, -0.0]","[0.0, 0.0, 0.8020588538659605, 0.0, 1.0]",,,,"[0.9578589200973511, 0.2872390151023865]","[1.9640253782272339, 0.9256977438926697]","[0.7621883, 3.9961846, 2.1040099]","[2.7261221, -2.5516844, -2.6963522]",[],[],"[-0.0, -0.0]"
3,1,Pursuers: 3 vs Evaders: 1,23,8977,adversary_1,non-active,"[0.9427721500396729, -0.3334376811981201, 1.2666791677474976, 1.233332633972168, 0.6973462700843811, -0.3076348304748535, -2.62345027923584, -2.530651330947876, -1.2015376091003418, -1.213779091835022, -0.0, -0.0]","[0.0, 0.0, 1.0, 0.7564491760953056, 0.0]",,,,"[0.9427721500396729, -0.3334376811981201]","[1.2666791677474976, 1.233332633972168]","[0.7621883, 3.6450908, 1.7079087]","[-0.41547054, -2.3741975, -2.3511262]",[],[],"[-0.0, -0.0]"
3,1,Pursuers: 3 vs Evaders: 1,23,8977,adversary_2,non-active,"[-0.744398832321167, 0.66773521900177, -1.3567709922790527, -1.297318696975708, 3.320796489715576, 2.2230165004730225, 2.62345027923584, 2.530651330947876, 1.4219125509262085, 1.316872239112854, -0.0, -0.0]","[0.0, 0.9654719645923833, 0.0, 0.0, 1.0]",,,,"[-0.744398832321167, 0.66773521900177]","[-1.3567709922790527, -1.297318696975708]","[3.9961846, 3.6450908, 1.938037]","[0.5899082, 0.76739526, 0.74706405]",[],[],"[-0.0, -0.0]"
3,1,Pursuers: 3 vs Evaders: 1,23,8977,agent_0,evader,"[-0.0, -0.0, 0.06514149159193039, 0.019553527235984802, 1.8988839387893677, 0.9061442017555237, 1.2015376091003418, 1.213779091835022, -1.4219125509262085, -1.316872239112854]","[0.0, -2.7070388328783563, 0.0, 0.0, 0.0]",0.0,False,False,"[-0.0, -0.0]","[0.06514149159193039, 0.019553527235984802]","[2.1040099, 1.7079087, 1.938037]","[0.44524044, 0.7904664, -2.3945286]",[],[],[]
