game,number_of_game_type,game_type,round,agent,seed,observation,action,reward,termination,truncation,self_vel,self_pos,distances_to_agents,angles_to_agents,distances_to_landmarks,angles_to_landmarks,other_agent_velocities,value_function,interception_point
3,1,Pursuers: 2 vs Evaders: 3,32,agent_1,4799,"[0.00019329706265125424, -0.0004118662327528, 0.9766408801078796, -1.350198745727539, 1.8104913234710693, 0.7601112723350525, -3.346924066543579, 2.109083890914917, -0.1199723333120346, 1.1190460920333862, -0.20527133345603943, 1.2190395593643188, 5.795804942137421e-16, -6.794245028713427e-16, -5.795804942137421e-16, 6.794245028713427e-16]","[0.0, 0.0, 0.0, 0.0, 0.0]",,,,"[0.00019329706265125424, -0.0004118662327528]","[0.9766408801078796, -1.350198745727539]","[1.9635804, 3.9560251, 1.1254588, 1.2362013]","[0.39748943, 2.5792944, 1.6775979, 1.737619]",[],[],"[5.795804942137421e-16, -6.794245028713427e-16, -5.795804942137421e-16, 6.794245028713427e-16]","{(0.6769003868103027, -0.934359073638916, 0.0): 0.0, (0.3152998089790344, 0.7588851451873779, 0.0): 0.0, (0.8566685318946838, -0.23115260899066925, 0.0): 0.0, (0.7862290143966675, -0.9980409741401672, 0.0): 0.0, (0.7713695764541626, -0.1311592012643814, 0.0): 0.0}",
3,1,Pursuers: 2 vs Evaders: 3,32,agent_2,4799,"[-5.795804942137421e-16, 6.794245028713427e-16, 0.7713695764541626, -0.1311592012643814, 2.0157628059387207, -0.45892828702926636, -3.141652822494507, 0.8900443315505981, 0.08529900759458542, -0.09999341517686844, 0.20527133345603943, -1.2190395593643188, 5.795804942137421e-16, -6.794245028713427e-16, 0.00019329706265125424, -0.0004118662327528]","[0.0, -0.6184184075241876, -1.0, 0.0, 0.0]",0.0,False,False,"[-5.795804942137421e-16, 6.794245028713427e-16]","[0.7713695764541626, -0.1311592012643814]","[2.067345, 3.2652967, 0.13143289, 1.2362013]","[-0.22385412, 2.8655224, -0.8645364, -1.4039736]",[],[],"[5.795804942137421e-16, -6.794245028713427e-16, 0.00019329706265125424, -0.0004118662327528]","{(0.6769003868103027, -0.934359073638916, 0.0): 0.0, (0.3152998089790344, 0.7588851451873779, 0.0): 0.0, (0.8566685318946838, -0.23115260899066925, 0.0): 0.0, (0.7862290143966675, -0.9980409741401672, 0.0): 0.0, (0.7713695764541626, -0.1311592012643814, 0.0): 0.0}",[nan nan]
3,1,Pursuers: 2 vs Evaders: 3,33,adversary_0,4799,"[0.4389192759990692, 0.00026144564617425203, 2.8323354721069336, -0.590052604675293, -5.302618503570557, 1.348937749862671, -1.975666880607605, 0.3589000105857849, -1.855675220489502, -0.7601872682571411, -2.0609660148620605, 0.45889341831207275, 5.795999230319697e-16, -6.794472668818002e-16, 0.00014497280062641948, -0.0003088996745646, -5.795999230319697e-16, 6.794472668818002e-16]","[0.0, -1.0, 0.3260056103313891, 0.0, 0.0]",,,,"[0.4389192759990692, 0.00026144564617425203]","[2.8323354721069336, -0.590052604675293]","[5.4715075, 2.008001, 2.0053468, 2.1114366]","[2.8924856, 2.9618921, -2.7527905, 2.922507]",[],[],"[5.795999230319697e-16, -6.794472668818002e-16, 0.00014497280062641948, -0.0003088996745646, -5.795999230319697e-16, 6.794472668818002e-16]","{(0.6769003868103027, -0.934359073638916, 0.0): 0.0, (0.3152998089790344, 0.7588851451873779, 0.0): 0.0, (0.8566685318946838, -0.23115260899066925, 0.0): 0.0, (0.7862290143966675, -0.9980409741401672, 0.0): 0.0, (0.7713695764541626, -0.1311592012643814, 0.0): 0.0}",
3,1,Pursuers: 2 vs Evaders: 3,33,adversary_1,4799,"[-1.0, 0.0, -2.470283269882202, 0.7588851451873779, 5.302618503570557, -1.348937749862671, 3.326951742172241, -0.990037739276886, 3.446943521499634, -2.1091251373291016, 3.241652727127075, -0.8900443315505981, 5.795999230319697e-16, -6.794472668818002e-16, 0.00014497280062641948, -0.0003088996745646, -5.795999230319697e-16, 6.794472668818002e-16]","[0.0, 1.0, -0.39714968887721347, 0.0, 0.0]",,,,"[-1.0, 0.0]","[-2.470283269882202, 0.7588851451873779]","[5.4715075, 3.4711359, 4.041018, 3.3616204]","[-0.24910696, -0.28923607, -0.549111, -0.26796174]",[],[],"[5.795999230319697e-16, -6.794472668818002e-16, 0.00014497280062641948, -0.0003088996745646, -5.795999230319697e-16, 6.794472668818002e-16]","{(0.6769003868103027, -0.934359073638916, 0.0): 0.0, (0.3152998089790344, 0.7588851451873779, 0.0): 0.0, (0.8566685318946838, -0.23115260899066925, 0.0): 0.0, (0.7862290143966675, -0.9980409741401672, 0.0): 0.0, (0.7713695764541626, -0.1311592012643814, 0.0): 0.0}",
3,1,Pursuers: 2 vs Evaders: 3,33,agent_0,4799,"[5.795999230319697e-16, -6.794472668818002e-16, 0.8566685318946838, -0.23115260899066925, 1.975666880607605, -0.3589000105857849, -3.326951742172241, 0.990037739276886, 0.11999166011810303, -1.1190873384475708, -0.08529900759458542, 0.09999341517686844, 0.00014497280062641948, -0.0003088996745646, -5.795999230319697e-16, 6.794472668818002e-16]","[0.0, 0.0, 0.0, 0.0, 0.0]",,,,"[5.795999230319697e-16, -6.794472668818002e-16]","[0.8566685318946838, -0.23115260899066925]","[2.008001, 3.4711359, 1.1255019, 0.13143289]","[-0.17970054, 2.8523567, -1.4639816, 2.2770562]",[],[],"[0.00014497280062641948, -0.0003088996745646, -5.795999230319697e-16, 6.794472668818002e-16]","{(0.6769003868103027, -0.934359073638916, 0.0): 0.0, (0.3152998089790344, 0.7588851451873779, 0.0): 0.0, (0.8566685318946838, -0.23115260899066925, 0.0): 0.0, (0.7862290143966675, -0.9980409741401672, 0.0): 0.0, (0.7713695764541626, -0.1311592012643814, 0.0): 0.0}",
3,1,Pursuers: 2 vs Evaders: 3,33,agent_1,4799,"[0.00014497280062641948, -0.0003088996745646, 0.9766601920127869, -1.350239872932434, 1.855675220489502, 0.7601872682571411, -3.446943521499634, 2.1091251373291016, -0.11999166011810303, 1.1190873384475708, -0.20529066026210785, 1.2190806865692139, 5.795999230319697e-16, -6.794472668818002e-16, -5.795999230319697e-16, 6.794472668818002e-16]","[0.0, 0.0, 0.0, 0.0, 0.0]",,,,"[0.00014497280062641948, -0.0003088996745646]","[0.9766601920127869, -1.350239872932434]","[2.0053468, 4.041018, 1.1255019, 1.2362452]","[0.38880214, 2.5924816, 1.677611, 1.737629]",[],[],"[5.795999230319697e-16, -6.794472668818002e-16, -5.795999230319697e-16, 6.794472668818002e-16]","{(0.6769003868103027, -0.934359073638916, 0.0): 0.0, (0.3152998089790344, 0.7588851451873779, 0.0): 0.0, (0.8566685318946838, -0.23115260899066925, 0.0): 0.0, (0.7862290143966675, -0.9980409741401672, 0.0): 0.0, (0.7713695764541626, -0.1311592012643814, 0.0): 0.0}",
3,1,Pursuers: 2 vs Evaders: 3,33,agent_2,4799,"[-5.795999230319697e-16, 6.794472668818002e-16, 0.7713695764541626, -0.1311592012643814, 2.0609660148620605, -0.45889341831207275, -3.241652727127075, 0.8900443315505981, 0.08529900759458542, -0.09999341517686844, 0.20529066026210785, -1.2190806865692139, 5.795999230319697e-16, -6.794472668818002e-16, 0.00014497280062641948, -0.0003088996745646]","[0.0, -0.6028094124146779, -1.0, 0.0, 0.0]",0.0,False,False,"[-5.795999230319697e-16, 6.794472668818002e-16]","[0.7713695764541626, -0.1311592012643814]","[2.1114366, 3.3616204, 0.13143289, 1.2362452]","[-0.2190855, 2.873631, -0.8645364, -1.4039637]",[],[],"[5.795999230319697e-16, -6.794472668818002e-16, 0.00014497280062641948, -0.0003088996745646]","{(0.6769003868103027, -0.934359073638916, 0.0): 0.0, (0.3152998089790344, 0.7588851451873779, 0.0): 0.0, (0.8566685318946838, -0.23115260899066925, 0.0): 0.0, (0.7862290143966675, -0.9980409741401672, 0.0): 0.0, (0.7713695764541626, -0.1311592012643814, 0.0): 0.0}",[nan nan]
3,1,Pursuers: 2 vs Evaders: 3,34,adversary_0,4799,"[0.42699113488197327, 0.00019608423463068902, 2.876227378845215, -0.5900264978408813, -5.4465107917785645, 1.3489116430282593, -2.019558906555176, 0.3588738739490509, -1.8995527029037476, -0.7602443099021912, -2.104857921600342, 0.45886728167533875, 5.796144814107507e-16, -6.794643134198637e-16, 0.00010872960410779342, -0.00023167475592345, -5.796144814107507e-16, 6.794643134198637e-16]","[0.0, -1.0, 0.31950176155587234, 0.0, 0.0]",,,,"[0.42699113488197327, 0.00019608423463068902]","[2.876227378845215, -0.5900264978408813]","[5.6110644, 2.0511968, 2.0460382, 2.154295]","[2.8988125, 2.9657292, -2.7608943, 2.926947]",[],[],"[5.796144814107507e-16, -6.794643134198637e-16, 0.00010872960410779342, -0.00023167475592345, -5.796144814107507e-16, 6.794643134198637e-16]","{(0.6769003868103027, -0.934359073638916, 0.0): 0.0, (0.3152998089790344, 0.7588851451873779, 0.0): 0.0, (0.8566685318946838, -0.23115260899066925, 0.0): 0.0, (0.7862290143966675, -0.9980409741401672, 0.0): 0.0, (0.7713695764541626, -0.1311592012643814, 0.0): 0.0}",
3,1,Pursuers: 2 vs Evaders: 3,34,adversary_1,4799,"[-1.0, 0.0, -2.5702831745147705, 0.7588851451873779, 5.4465107917785645, -1.3489116430282593, 3.4269518852233887, -0.990037739276886, 3.5469579696655273, -2.1091558933258057, 3.3416528701782227, -0.8900443315505981, 5.796144814107507e-16, -6.794643134198637e-16, 0.00010872960410779342, -0.00023167475592345, -5.796144814107507e-16, 6.794643134198637e-16]","[0.0, 1.0, -0.38606346412038706, 0.0, 0.0]",,,,"[-1.0, 0.0]","[-2.5702831745147705, 0.7588851451873779]","[5.6110644, 3.567096, 4.126675, 3.4581532]","[-0.24278007, -0.2812401, -0.5364675, -0.26030535]",[],[],"[5.796144814107507e-16, -6.794643134198637e-16, 0.00010872960410779342, -0.00023167475592345, -5.796144814107507e-16, 6.794643134198637e-16]","{(0.6769003868103027, -0.934359073638916, 0.0): 0.0, (0.3152998089790344, 0.7588851451873779, 0.0): 0.0, (0.8566685318946838, -0.23115260899066925, 0.0): 0.0, (0.7862290143966675, -0.9980409741401672, 0.0): 0.0, (0.7713695764541626, -0.1311592012643814, 0.0): 0.0}",
3,1,Pursuers: 2 vs Evaders: 3,34,agent_0,4799,"[5.796144814107507e-16, -6.794643134198637e-16, 0.8566685318946838, -0.23115260899066925, 2.019558906555176, -0.3588738739490509, -3.4269518852233887, 0.990037739276886, 0.12000615894794464, -1.1191182136535645, -0.08529900759458542, 0.09999341517686844, 0.00010872960410779342, -0.00023167475592345, -5.796144814107507e-16, 6.794643134198637e-16]","[0.0, 0.0, 0.0, 0.0, 0.0]",,,,"[5.796144814107507e-16, -6.794643134198637e-16]","[0.8566685318946838, -0.23115260899066925]","[2.0511968, 3.567096, 1.125534, 0.13143289]","[-0.17586342, 2.8603525, -1.4639717, 2.2770562]",[],[],"[0.00010872960410779342, -0.00023167475592345, -5.796144814107507e-16, 6.794643134198637e-16]","{(0.6769003868103027, -0.934359073638916, 0.0): 0.0, (0.3152998089790344, 0.7588851451873779, 0.0): 0.0, (0.8566685318946838, -0.23115260899066925, 0.0): 0.0, (0.7862290143966675, -0.9980409741401672, 0.0): 0.0, (0.7713695764541626, -0.1311592012643814, 0.0): 0.0}",
3,1,Pursuers: 2 vs Evaders: 3,34,agent_1,4799,"[0.00010872960410779342, -0.00023167475592345, 0.9766747355461121, -1.3502707481384277, 1.8995527029037476, 0.7602443099021912, -3.5469579696655273, 2.1091558933258057, -0.12000615894794464, 1.1191182136535645, -0.20530515909194946, 1.2191115617752075, 5.796144814107507e-16, -6.794643134198637e-16, -5.796144814107507e-16, 6.794643134198637e-16]","[0.0, 0.0, 0.0, 0.0, 0.0]",,,,"[0.00010872960410779342, -0.00023167475592345]","[0.9766747355461121, -1.3502707481384277]","[2.0460382, 4.126675, 1.125534, 1.2362779]","[0.38069844, 2.6051252, 1.6776209, 1.7376364]",[],[],"[5.796144814107507e-16, -6.794643134198637e-16, -5.796144814107507e-16, 6.794643134198637e-16]","{(0.6769003868103027, -0.934359073638916, 0.0): 0.0, (0.3152998089790344, 0.7588851451873779, 0.0): 0.0, (0.8566685318946838, -0.23115260899066925, 0.0): 0.0, (0.7862290143966675, -0.9980409741401672, 0.0): 0.0, (0.7713695764541626, -0.1311592012643814, 0.0): 0.0}",
3,1,Pursuers: 2 vs Evaders: 3,34,agent_2,4799,"[-5.796144814107507e-16, 6.794643134198637e-16, 0.7713695764541626, -0.1311592012643814, 2.104857921600342, -0.45886728167533875, -3.3416528701782227, 0.8900443315505981, 0.08529900759458542, -0.09999341517686844, 0.20530515909194946, -1.2191115617752075, 5.796144814107507e-16, -6.794643134198637e-16, 0.00010872960410779342, -0.00023167475592345]","[0.0, -0.5881242809760616, -1.0, 0.0, 0.0]",0.0,False,False,"[-5.796144814107507e-16, 6.794643134198637e-16]","[0.7713695764541626, -0.1311592012643814]","[2.154295, 3.4581532, 0.13143289, 1.2362779]","[-0.2146456, 2.8812873, -0.8645364, -1.4039563]",[],[],"[5.796144814107507e-16, -6.794643134198637e-16, 0.00010872960410779342, -0.00023167475592345]","{(0.6769003868103027, -0.934359073638916, 0.0): 0.0, (0.3152998089790344, 0.7588851451873779, 0.0): 0.0, (0.8566685318946838, -0.23115260899066925, 0.0): 0.0, (0.7862290143966675, -0.9980409741401672, 0.0): 0.0, (0.7713695764541626, -0.1311592012643814, 0.0): 0.0}",[nan nan]
3,1,Pursuers: 2 vs Evaders: 3,35,adversary_0,4799,"[0.4160938858985901, 0.00014706318324897438, 2.918926477432251, -0.5900068879127502, -5.58920955657959, 1.3488919734954834, -2.062258005142212, 0.3588542640209198, -1.9422409534454346, -0.7602871060371399, -2.147557020187378, 0.45884767174720764, 5.796253869599466e-16, -6.794771247931909e-16, 8.154720126185566e-05, -0.0001737560669425875, -5.796253869599466e-16, 6.794771247931909e-16]","[0.0, -1.0, 0.31341646166481496, 0.0, 0.0]",,,,"[0.4160938858985901, 0.00014706318324897438]","[2.918926477432251, -0.5900068879127502]","[5.7496758, 2.0932474, 2.085746, 2.1960287]","[2.9047823, 2.9693074, -2.76848, 2.9310973]",[],[],"[5.796253869599466e-16, -6.794771247931909e-16, 8.154720126185566e-05, -0.0001737560669425875, -5.796253869599466e-16, 6.794771247931909e-16]","{(0.6769003868103027, -0.934359073638916, 0.0): 0.0, (0.3152998089790344, 0.7588851451873779, 0.0): 0.0, (0.8566685318946838, -0.23115260899066925, 0.0): 0.0, (0.7862290143966675, -0.9980409741401672, 0.0): 0.0, (0.7713695764541626, -0.1311592012643814, 0.0): 0.0}",
3,1,Pursuers: 2 vs Evaders: 3,35,adversary_1,4799,"[-1.0, 0.0, -2.670283317565918, 0.7588851451873779, 5.58920955657959, -1.3488919734954834, 3.526951789855957, -0.990037739276886, 3.6469688415527344, -2.1091790199279785, 3.441652774810791, -0.8900443315505981, 5.796253869599466e-16, -6.794771247931909e-16, 8.154720126185566e-05, -0.0001737560669425875, -5.796253869599466e-16, 6.794771247931909e-16]","[0.0, 1.0, -0.37555908576140234, 0.0, 0.0]",,,,"[-1.0, 0.0]","[-2.670283317565918, 0.7588851451873779]","[5.7496758, 3.6632724, 4.2129583, 3.5548773]","[-0.23681028, -0.27366358, -0.5243389, -0.25306523]",[],[],"[5.796253869599466e-16, -6.794771247931909e-16, 8.154720126185566e-05, -0.0001737560669425875, -5.796253869599466e-16, 6.794771247931909e-16]","{(0.6769003868103027, -0.934359073638916, 0.0): 0.0, (0.3152998089790344, 0.7588851451873779, 0.0): 0.0, (0.8566685318946838, -0.23115260899066925, 0.0): 0.0, (0.7862290143966675, -0.9980409741401672, 0.0): 0.0, (0.7713695764541626, -0.1311592012643814, 0.0): 0.0}",
3,1,Pursuers: 2 vs Evaders: 3,35,agent_0,4799,"[5.796253869599466e-16, -6.794771247931909e-16, 0.8566685318946838, -0.23115260899066925, 2.062258005142212, -0.3588542640209198, -3.526951789855957, 0.990037739276886, 0.12001702934503555, -1.1191413402557373, -0.08529900759458542, 0.09999341517686844, 8.154720126185566e-05, -0.0001737560669425875, -5.796253869599466e-16, 6.794771247931909e-16]","[0.0, 0.0, 0.0, 0.0, 0.0]",,,,"[5.796253869599466e-16, -6.794771247931909e-16]","[0.8566685318946838, -0.23115260899066925]","[2.0932474, 3.6632724, 1.1255583, 0.13143289]","[-0.17228529, 2.867929, -1.4639643, 2.2770562]",[],[],"[8.154720126185566e-05, -0.0001737560669425875, -5.796253869599466e-16, 6.794771247931909e-16]","{(0.6769003868103027, -0.934359073638916, 0.0): 0.0, (0.3152998089790344, 0.7588851451873779, 0.0): 0.0, (0.8566685318946838, -0.23115260899066925, 0.0): 0.0, (0.7862290143966675, -0.9980409741401672, 0.0): 0.0, (0.7713695764541626, -0.1311592012643814, 0.0): 0.0}",
