game,round,agent,seed,agent_type,observation,action,reward,termination,truncation,self_vel,self_pos,distances_to_agents,angles_to_agents,distances_to_landmarks,angles_to_landmarks,other_agent_velocities
5,24,adversary_1,3508,active,"[-0.6990203261375427, 0.048271629959344864, 1.1054327487945557, -0.28616437315940857, -1.8786848783493042, 1.3399269580841064, 0.31584301590919495, -0.17422577738761902, -1.710983395576477, -0.2818257212638855, -1.7749733924865723, -0.7876445055007935, -1.7858552932739258, 1.195665955543518, -1.00429105758667, -0.2563087046146393, 0.04437959939241409, -0.5405638217926025, -2.0104589462280273, -0.7164442539215088, -2.2338545322418213, -0.16227680444717407, 0.35781607031822205, -0.020252296701073647, 0.027079006657004356, 0.0, -0.09581403434276581, -0.6676592826843262, -0.49536386132240295, -0.11218629032373428, -0.45731934905052185, -0.0015901230508461595]","[0.0, 0.0, 0.12273510172963142, 1.0, 0.0]",,,,"[-0.6990203261375427, 0.048271629959344864]","[1.1054327487945557, -0.28616437315940857]","[2.307566, 0.3607096, 1.7340387, 1.9418843, 2.1491618, 1.0364819, 0.5423825, 2.1343002, 2.239741]","[2.5220451, -0.50408727, -2.9783428, -2.7239482, 2.5516171, -2.8917131, -1.4888813, -2.7992644, -3.0690758]",[],[],"[0.35781607031822205, -0.020252296701073647, 0.027079006657004356, 0.0, -0.09581403434276581, -0.6676592826843262, -0.49536386132240295, -0.11218629032373428, -0.45731934905052185, -0.0015901230508461595]"
5,24,adversary_2,3508,active,"[0.4715612828731537, -0.6141598224639893, 1.4212757349014282, -0.4603901505470276, -2.1945278644561768, 1.5141527652740479, -0.31584301590919495, 0.17422577738761902, -2.0268263816833496, -0.10759992897510529, -2.0908164978027344, -0.6134187579154968, -2.101698398590088, 1.3698917627334595, -1.3201340436935425, -0.08208292722702026, -0.27146342396736145, -0.3663380444049835, -2.3263020515441895, -0.5422184467315674, -2.5496976375579834, 0.01194897573441267, 0.35781607031822205, -0.020252296701073647, 0.027079006657004356, 0.0, -0.09581403434276581, -0.6676592826843262, -0.49536386132240295, -0.11218629032373428, -0.45731934905052185, -0.0015901230508461595]","[0.0, 0.8930577635765076, 0.0, 1.0, 0.0]",,,,"[0.4715612828731537, -0.6141598224639893]","[1.4212757349014282, -0.4603901505470276]","[2.6661978, 0.3607096, 2.0296805, 2.1789439, 2.5087328, 1.3226835, 0.4559561, 2.3886569, 2.5497255]","[2.5376318, 2.6375053, -3.0885546, -2.8562136, 2.5639515, -3.079495, -2.2085247, -2.9125993, 3.1369061]",[],[],"[0.35781607031822205, -0.020252296701073647, 0.027079006657004356, 0.0, -0.09581403434276581, -0.6676592826843262, -0.49536386132240295, -0.11218629032373428, -0.45731934905052185, -0.0015901230508461595]"
5,24,adversary_3,3508,active,"[-0.34074610471725464, 0.12725140154361725, -0.6055506467819214, -0.5679900646209717, -0.16770146787166595, 1.6217527389526367, 1.710983395576477, 0.2818257212638855, 2.0268263816833496, 0.10759992897510529, -0.06399006396532059, -0.5058188438415527, -0.07487194985151291, 1.4774916172027588, 0.7066923975944519, 0.025517001748085022, 1.7553629875183105, -0.25873813033103943, -0.29947566986083984, -0.4346185326576233, -0.5228712558746338, 0.11954890191555023, 0.35781607031822205, -0.020252296701073647, 0.027079006657004356, 0.0, -0.09581403434276581, -0.6676592826843262, -0.49536386132240295, -0.11218629032373428, -0.45731934905052185, -0.0015901230508461595]","[0.0, 1.0, 0.0, 0.0, 0.33433156460523605]",,,,"[-0.34074610471725464, 0.12725140154361725]","[-0.6055506467819214, -0.5679900646209717]","[1.6304005, 1.7340387, 2.0296805, 0.5098504, 1.4793874, 0.7071529, 1.7743293, 0.5278058, 0.53636396]","[1.6738377, 0.16324978, 0.05303809, -1.6966357, 1.621428, 0.03609195, -0.14634489, -2.1741383, 2.916817]",[],[],"[0.35781607031822205, -0.020252296701073647, 0.027079006657004356, 0.0, -0.09581403434276581, -0.6676592826843262, -0.49536386132240295, -0.11218629032373428, -0.45731934905052185, -0.0015901230508461595]"
5,24,adversary_4,3508,active,"[-0.05141704902052879, -0.1714211255311966, -0.6695407032966614, -1.0738089084625244, -0.10371140390634537, 2.1275715827941895, 1.7749733924865723, 0.7876445055007935, 2.0908164978027344, 0.6134187579154968, 0.06399006396532059, 0.5058188438415527, -0.010881886817514896, 1.9833104610443115, 0.7706824541091919, 0.5313358306884766, 1.8193529844284058, 0.24708068370819092, -0.23548559844493866, 0.07120029628276825, -0.4588811695575714, 0.6253677010536194, 0.35781607031822205, -0.020252296701073647, 0.027079006657004356, 0.0, -0.09581403434276581, -0.6676592826843262, -0.49536386132240295, -0.11218629032373428, -0.45731934905052185, -0.0015901230508461595]","[0.0, 1.0, 0.0, 0.0, 0.4341236650943756]",,,,"[-0.05141704902052879, -0.1714211255311966]","[-0.6695407032966614, -1.0738089084625244]","[2.1300979, 1.9418843, 2.1789439, 0.5098504, 1.9833403, 0.93609256, 1.836054, 0.24601413, 0.7756653]","[1.6195042, 0.41764432, 0.285379, 1.4449569, 1.576283, 0.60360044, 0.13498111, 2.8479767, 2.2038345]",[],[],"[0.35781607031822205, -0.020252296701073647, 0.027079006657004356, 0.0, -0.09581403434276581, -0.6676592826843262, -0.49536386132240295, -0.11218629032373428, -0.45731934905052185, -0.0015901230508461595]"
5,24,agent_0,3508,non-active,"[0.35781607031822205, -0.020252296701073647, -0.6804226040840149, 0.9095016121864319, -0.09282951056957245, 0.14426104724407196, 1.7858552932739258, -1.195665955543518, 2.101698398590088, -1.3698917627334595, 0.07487194985151291, -1.4774916172027588, 0.010881886817514896, -1.9833104610443115, 0.7815643548965454, -1.451974630355835, 1.8302348852157593, -1.7362297773361206, -0.22460371255874634, -1.9121102094650269, -0.4479992985725403, -1.3579427003860474, 0.027079006657004356, 0.0, -0.09581403434276581, -0.6676592826843262, -0.49536386132240295, -0.11218629032373428, -0.45731934905052185, -0.0015901230508461595]","[0.0, -1.0, 0.35735873807828805, 0.0, 0.0]",,,,"[0.35781607031822205, -0.020252296701073647]","[-0.6804226040840149, 0.9095016121864319]","[0.17154756, 2.1491618, 2.5087328, 1.4793874, 1.9833403, 1.6489613, 2.5227473, 1.9252564, 1.4299341]","[2.1425765, -0.5899754, -0.5776411, -1.5201646, -1.5653096, -1.0769981, -0.75904626, -1.6877244, -1.889463]",[],[],"[0.027079006657004356, 0.0, -0.09581403434276581, -0.6676592826843262, -0.49536386132240295, -0.11218629032373428, -0.45731934905052185, -0.0015901230508461595]"
5,24,agent_1,3508,non-active,"[0.027079006657004356, 0.0, 0.10114173591136932, -0.5424730777740479, -0.8743938207626343, 1.596235752105713, 1.00429105758667, 0.2563087046146393, 1.3201340436935425, 0.08208292722702026, -0.7066923975944519, -0.025517001748085022, -0.7706824541091919, -0.5313358306884766, -0.7815643548965454, 1.451974630355835, 1.0486706495285034, -0.28425511717796326, -1.006168007850647, -0.4601355195045471, -1.229563593864441, 0.09403190016746521, 0.35781607031822205, -0.020252296701073647, -0.09581403434276581, -0.6676592826843262, -0.49536386132240295, -0.11218629032373428, -0.45731934905052185, -0.0015901230508461595]","[0.0, -1.0, -0.5018542594127002, 0.0, 0.0]",,,,"[0.027079006657004356, 0.0]","[0.10114173591136932, -0.5424730777740479]","[1.8200365, 1.0364819, 1.3226835, 0.7071529, 0.93609256, 1.6489613, 1.0865133, 1.1063899, 1.2331539]","[2.0719373, 0.2498795, 0.06209778, -3.1055007, -2.5379922, 2.0645945, -0.26470175, -2.7126725, 3.0652654]",[],[],"[0.35781607031822205, -0.020252296701073647, -0.09581403434276581, -0.6676592826843262, -0.49536386132240295, -0.11218629032373428, -0.45731934905052185, -0.0015901230508461595]"
5,24,agent_2,3508,non-active,"[-0.09581403434276581, -0.6676592826843262, 1.1498123407363892, -0.8267282247543335, -1.9230644702911377, 1.880490779876709, -0.04437959939241409, 0.5405638217926025, 0.27146342396736145, 0.3663380444049835, -1.7553629875183105, 0.25873813033103943, -1.8193529844284058, -0.24708068370819092, -1.8302348852157593, 1.7362297773361206, -1.0486706495285034, 0.28425511717796326, -2.0548386573791504, -0.17588038742542267, -2.2782342433929443, 0.37828701734542847, 0.35781607031822205, -0.020252296701073647, 0.027079006657004356, 0.0, -0.49536386132240295, -0.11218629032373428, -0.45731934905052185, -0.0015901230508461595]","[0.0, -1.0, -0.5018542594127002, 0.0, 0.0]",,,,"[-0.09581403434276581, -0.6676592826843262]","[1.1498123407363892, -0.8267282247543335]","[2.6896882, 0.5423825, 0.4559561, 1.7743293, 1.836054, 2.5227473, 1.0865133, 2.062352, 2.309427]","[2.367387, 1.6527113, 0.933068, 2.9952478, -3.0066116, 2.3825464, 2.876891, -3.0562074, 2.9770498]",[],[],"[0.35781607031822205, -0.020252296701073647, 0.027079006657004356, 0.0, -0.49536386132240295, -0.11218629032373428, -0.45731934905052185, -0.0015901230508461595]"
5,24,agent_3,3508,non-active,"[-0.49536386132240295, -0.11218629032373428, -0.9050263166427612, -1.0026085376739502, 0.1317742019891739, 2.0563712120056152, 2.0104589462280273, 0.7164442539215088, 2.3263020515441895, 0.5422184467315674, 0.29947566986083984, 0.4346185326576233, 0.23548559844493866, -0.07120029628276825, 0.22460371255874634, 1.9121102094650269, 1.006168007850647, 0.4601355195045471, 2.0548386573791504, 0.17588038742542267, -0.22339557111263275, 0.5541674494743347, 0.35781607031822205, -0.020252296701073647, 0.027079006657004356, 0.0, -0.09581403434276581, -0.6676592826843262, -0.45731934905052185, -0.0015901230508461595]","[0.0, -1.0, -0.5222615370304999, 0.0, 0.0]",,,,"[-0.49536386132240295, -0.11218629032373428]","[-0.9050263166427612, -1.0026085376739502]","[2.060589, 2.1343002, 2.3886569, 0.5278058, 0.24601413, 1.9252564, 1.1063899, 2.062352, 0.59750074]","[1.5068029, 0.3423282, 0.22899328, 0.9674545, -0.29361594, 1.4538684, 0.42892024, 0.085385166, 1.9539888]",[],[],"[0.35781607031822205, -0.020252296701073647, 0.027079006657004356, 0.0, -0.09581403434276581, -0.6676592826843262, -0.45731934905052185, -0.0015901230508461595]"
5,24,agent_4,3508,non-active,"[-0.45731934905052185, -0.0015901230508461595, -1.1284219026565552, -0.44844117760658264, 0.35516977310180664, 1.5022038221359253, 2.2338545322418213, 0.16227680444717407, 2.5496976375579834, -0.01194897573441267, 0.5228712558746338, -0.11954890191555023, 0.4588811695575714, -0.6253677010536194, 0.4479992985725403, 1.3579427003860474, 1.229563593864441, -0.09403190016746521, 2.2782342433929443, -0.37828701734542847, 0.22339557111263275, -0.5541674494743347, 0.35781607031822205, -0.020252296701073647, 0.027079006657004356, 0.0, -0.09581403434276581, -0.6676592826843262, -0.49536386132240295, -0.11218629032373428]","[0.0, -1.0, -0.4455897707912504, 0.0, 0.0]",-1.4166679700813785,False,False,"[-0.45731934905052185, -0.0015901230508461595]","[-1.1284219026565552, -0.44844117760658264]","[1.5436198, 2.239741, 2.5497255, 0.53636396, 0.7756653, 1.4299341, 1.2331539, 2.309427, 0.59750074]","[1.3386273, 0.07251692, -0.0046863933, -0.22477561, -0.9377583, 1.2521297, -0.076327264, -0.16454275, -1.1876038]",[],[],"[0.35781607031822205, -0.020252296701073647, 0.027079006657004356, 0.0, -0.09581403434276581, -0.6676592826843262, -0.49536386132240295, -0.11218629032373428]"
5,25,adversary_0,3508,active,"[0.7499432563781738, -0.6615021228790283, -0.6954774260520935, 0.9965211153030396, 1.7310081720352173, -1.2778583765029907, 2.163909435272217, -1.518327236175537, 0.05585218966007233, -1.5517860651016235, 0.020795030519366264, -2.0874722003936768, 0.05083645507693291, -0.08904476463794708, 0.7993270754814148, -1.5389941930770874, 1.8357083797454834, -1.8900152444839478, -0.2590852379798889, -2.010348320007324, -0.47867637872695923, -1.4451212882995605, 0.4113055467605591, -0.015189222991466522, 0.02030925638973713, 0.0, -0.07186052948236465, -0.5007444620132446, -0.3715228736400604, -0.08413971960544586, -0.3429895341396332, -0.00119259231723845]","[0.0, 0.0, 0.7436980605125427, 1.0, 0.0]",,,,"[0.7499432563781738, -0.6615021228790283]","[-0.6954774260520935, 0.9965211153030396]","[2.1515834, 2.6434488, 1.5527909, 2.0875757, 0.10253446, 1.7341934, 2.6347644, 2.0269747, 1.5223359]","[-0.6359167, -0.61183876, -1.5348197, -1.5608348, -1.052042, -1.091763, -0.7999733, -1.6989657, -1.8906583]",[],[],"[0.4113055467605591, -0.015189222991466522, 0.02030925638973713, 0.0, -0.07186052948236465, -0.5007444620132446, -0.3715228736400604, -0.08413971960544586, -0.3429895341396332, -0.00119259231723845]"
5,25,adversary_1,3508,active,"[-0.4874447286128998, -0.26379626989364624, 1.035530686378479, -0.2813372015953064, -1.7310081720352173, 1.2778583765029907, 0.43290117383003235, -0.24046891927719116, -1.6751559972763062, -0.2739277184009552, -1.7102130651474, -0.809613823890686, -1.6801717281341553, 1.18881356716156, -0.9316810369491577, -0.26113587617874146, 0.1047002300620079, -0.6121569275856018, -1.9900933504104614, -0.7324900031089783, -2.2096846103668213, -0.1672629863023758, 0.4113055467605591, -0.015189222991466522, 0.02030925638973713, 0.0, -0.07186052948236465, -0.5007444620132446, -0.3715228736400604, -0.08413971960544586, -0.3429895341396332, -0.00119259231723845]","[0.0, 0.0, 0.25288036465644836, 1.0, 0.0]",,,,"[-0.4874447286128998, -0.26379626989364624]","[1.035530686378479, -0.2813372015953064]","[2.1515834, 0.49520573, 1.697405, 1.8921689, 2.0582163, 0.9675854, 0.62104607, 2.1206162, 2.216006]","[2.5056758, -0.5070425, -2.9795036, -2.6994512, 2.5258143, -2.86832, -1.4014004, -2.788913, -3.0660412]",[],[],"[0.4113055467605591, -0.015189222991466522, 0.02030925638973713, 0.0, -0.07186052948236465, -0.5007444620132446, -0.3715228736400604, -0.08413971960544586, -0.3429895341396332, -0.00119259231723845]"
5,25,adversary_2,3508,active,"[0.08575364202260971, -0.7606198191642761, 1.4684319496154785, -0.5218061208724976, -2.163909435272217, 1.518327236175537, -0.43290117383003235, 0.24046891927719116, -2.1080570220947266, -0.033458806574344635, -2.1431143283843994, -0.5691448450088501, -2.1130728721618652, 1.4292824268341064, -1.3645823001861572, -0.020666945725679398, -0.32820096611976624, -0.37168800830841064, -2.422994613647461, -0.4920210838317871, -2.6425857543945312, 0.07320594042539597, 0.4113055467605591, -0.015189222991466522, 0.02030925638973713, 0.0, -0.07186052948236465, -0.5007444620132446, -0.3715228736400604, -0.08413971960544586, -0.3429895341396332, -0.00119259231723845]","[0.0, 0.99284228682518, 0.0, 1.0, 0.0]",,,,"[0.08575364202260971, -0.7606198191642761]","[1.4684319496154785, -0.5218061208724976]","[2.6434488, 0.49520573, 2.1083226, 2.2174006, 2.5510635, 1.3647388, 0.49585062, 2.4724457, 2.6435995]","[2.529754, 2.63455, -3.1257222, -2.8820152, 2.546882, -3.1264486, -2.29414, -2.9412534, 3.1138973]",[],[],"[0.4113055467605591, -0.015189222991466522, 0.02030925638973713, 0.0, -0.07186052948236465, -0.5007444620132446, -0.3715228736400604, -0.08413971960544586, -0.3429895341396332, -0.00119259231723845]"
5,25,adversary_3,3508,active,"[-0.5555595755577087, 0.1957380175590515, -0.6396252512931824, -0.555264949798584, -0.05585218966007233, 1.5517860651016235, 1.6751559972763062, 0.2739277184009552, 2.1080570220947266, 0.033458806574344635, -0.03505715727806091, -0.5356860756874084, -0.005015731323510408, 1.4627412557601929, 0.7434749007225037, 0.012791860848665237, 1.7798562049865723, -0.3382291793823242, -0.31493744254112244, -0.45856228470802307, -0.5345285534858704, 0.1066647544503212, 0.4113055467605591, -0.015189222991466522, 0.02030925638973713, 0.0, -0.07186052948236465, -0.5007444620132446, -0.3715228736400604, -0.08413971960544586, -0.3429895341396332, -0.00119259231723845]","[0.0, 1.0, 0.0, 0.0, 0.2935365065932274]",,,,"[-0.5555595755577087, 0.1957380175590515]","[-0.6396252512931824, -0.555264949798584]","[1.5527909, 1.697405, 2.1083226, 0.536832, 1.4627498, 0.74358493, 1.8117083, 0.55629575, 0.5450671]","[1.606773, 0.16208911, 0.015870547, -1.6361465, 1.5742253, 0.017203823, -0.18779258, -2.1726036, 2.9446306]",[],[],"[0.4113055467605591, -0.015189222991466522, 0.02030925638973713, 0.0, -0.07186052948236465, -0.5007444620132446, -0.3715228736400604, -0.08413971960544586, -0.3429895341396332, -0.00119259231723845]"
